year,license,languageCode,versionContentCode,versionContentDescription,revision
2019,CC BY SA,ory,IRV,Indian Revised Version,5
2019,CC BY SA,pan,IRV,Indian Revised Version,5
2019,CC BY SA,tam,IRV,Indian Revised Version,5
2019,CC BY SA,tel,IRV,Indian Revised Version,5
1611,Public Domain,eng,KJV,King James Version,1
2019,CC BY SA,asm,IRV,Indian Revised Version,5
2019,CC BY SA,mar,IRV,Indian Revised Version,5
2019,CC BY SA,ben,IRV,Indian Revised Version,5
2019,CC BY SA,kan,IRV,Indian Revised Version,5
2019,CC BY SA,guj,IRV,Indian Revised Version,5
1901,Public Domain,eng,ASV,American Standard Version,1
2019,CC BY SA,mal,IRV,Indian Revised Version,5
2019,CC BY SA,urd,IRV,Indian Revised Version,5
2019,CC BY SA,hin,IRV,Indian Revised Version,5
2019,CC BY SA,har,HB,Haryanvi Bible,1
2020,CC BY SA,nag,ISV,Indian Standard Version,1
2019,CC BY SA,bil,BSV,Bilaspuri Standard Version,1
2019,CC BY SA,dgo,DSV,Dogri Standard Version,1
2021,Copyright,eng,ESV,English Standard Version,1
